leadership  program management  change management  analytisch denkvermogen  people management
consultant digital transformation   program manager   interim management   change management at blackcomb peak consultancy
change management  program management  project management  strategic planning
agile coach consultant and trainer (chief) scrummaster business (process) analyst information manager teamlead
change management  coaching document management governance
information management ict governance interim management
organisatieontwikkeling strategieontwikkeling leiderschap analytisch denkvermogen
design thinking concept development research design experience design

program management interim management business change management
project planning indesign executive ondersteuning
director of it chief information officer it manager and information technology strategist roles
interim management management operations management ict
program management consultancy business analist ict management consulting
inzetbaar als it director   business analyst   it manager   ?business consultant   architect   proces manager   portfolio manager   it manager
process control business communication project planning 
manager   bestuursvoorzitter   lean   assetmanagement   verandermanagement   projectmanagement
ervaren directeur toezichthouder voorzitter manager in publieke sector
directeur bij landstede mbo zwolle veilig & beschermd media & design horeca vrij & gastvrij handel & commercie office & management mooi & mode ict & technologie

information technolgy interim management management consulting coaching 
